preSurveyId,presurveyDate,age,gender,race,experience,designExperience,healthcareFamiliarity,automationFamiliarity,smartDevicesFamiliarity,task1PatentCategory,task1PatentName,task1IdeasRound1.use1,task1IdeasRound1.explanation1,task1IdeasRound1.use2,task1IdeasRound1.explanation2,task1IdeasRound1.use3,task1IdeasRound1.explanation3,task2PatentCategory,task2PatentName,task2Level,task2UserChatCount,task2UserChatMessages,task2GPTChatCount,task2GPTChatMessages,task2IdeasRound1.use1,task2IdeasRound1.explanation1,task2IdeasRound1.use2,task2IdeasRound1.explanation2,task2IdeasRound1.use3,task2IdeasRound1.explanation3,task2IdeasRound2.use1,task2IdeasRound2.explanation1,task2IdeasRound2.use2,task2IdeasRound2.explanation2,task2IdeasRound2.use3,task2IdeasRound2.explanation3,task3PatentCategory,task3PatentName,task3Level,task3UserChatCount,task3UserChatMessages,task3GPTChatCount,task3GPTChatMessages,task3IdeasRound1.use1,task3IdeasRound1.explanation1,task3IdeasRound1.use2,task3IdeasRound1.explanation2,task3IdeasRound1.use3,task3IdeasRound1.explanation3,task3IdeasRound2.use1,task3IdeasRound2.explanation1,task3IdeasRound2.use2,task3IdeasRound2.explanation2,task3IdeasRound2.use3,task3IdeasRound2.explanation3,task4PatentCategory,task4PatentName,task4Level,task4UserChatCount,task4UserChatMessages,task4GPTChatCount,task4GPTChatMessages,task4IdeasRound1.use1,task4IdeasRound1.explanation1,task4IdeasRound1.use2,task4IdeasRound1.explanation2,task4IdeasRound1.use3,task4IdeasRound1.explanation3,task4IdeasRound2.use1,task4IdeasRound2.explanation1,task4IdeasRound2.use2,task4IdeasRound2.explanation2,task4IdeasRound2.use3,task4IdeasRound2.explanation3,accuracy,helpfulness,inspiration,expansion,recombination,problems,improvements
68cafdb1ad1e8027970043a0,2025-09-17 18:28:01.176000,23,male,Asian,Beginner,Some,2,2,3,,,abc,,abc,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb0acc1316b75521f4bf07,2025-09-17 19:23:56.992000,20,female,White,Beginner,None,4,2,2,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb12031316b75521f4c12c,2025-09-17 19:54:43.462000,21,male,Black or African American,Intermediate,Some,2,2,3,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb14111316b75521f4c1aa,2025-09-17 20:03:29.764000,22,male,Black or African American,Beginner,Some,1,2,2,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb3a539dc4ad3368fbfdca,2025-09-17 22:46:43.339000,24,male,Black or African American,Beginner,Some,3,3,2,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb434247c28d06d55d1829,2025-09-17 23:24:50.960000,23,female,American Indian or Alaska Native,Intermediate,None,3,3,1,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb48245e17afa817704b5a,2025-09-17 23:45:40.601000,20,female,Native Hawaiian or Other Pacific Islander,Beginner,Some,2,3,3,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb493553222331e4f083ea,2025-09-17 23:50:13.161000,23,female,Black or African American,Beginner,Extensive,4,1,3,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb4a1253222331e4f083ee,2025-09-17 23:53:54.708000,23,female,Black or African American,Beginner,Extensive,2,2,2,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
68cb4cd553222331e4f083f2,2025-09-18 00:05:41.607000,22,male,Black or African American,Beginner,Some,1,2,2,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
